1.885939	1.915812	t
1.915812	2.248348	a
2.374915	2.427783	t
2.427783	2.771914	a
2.895337	2.947615	t
2.947615	3.275434	a
3.407504	3.450152	t
3.450152	3.799393	a
3.954262	3.984921	t
3.984921	4.346936	a
4.480973	4.511042	t
4.511042	4.831589	a
4.966804	4.997660	t
4.997660	5.343363	a
5.480937	5.517296	t
5.517296	5.754119	a
6.063070	6.132054	t
6.132054	6.386172	a
6.517064	6.579561	t
6.579561	6.862177	a
7.003682	7.033555	t
7.033555	7.343292	a
7.495016	7.519976	t
7.519976	7.836592	a
7.981241	8.006987	t
8.006987	8.287441	a
8.455281	8.484564	t
8.484564	8.761088	a
8.931679	8.957818	t
8.957818	9.213115	a
10.183207	10.266111	t
10.266111	10.602610	a
10.738473	10.818900	t
10.818900	11.193228	a
11.334077	11.388295	t
11.388295	11.761023	a
11.931281	11.986100	t
11.986100	12.379034	a
12.576301	12.617315	t
12.617315	13.036659	a
13.273140	13.295347	t
13.295347	13.571042	a
13.930164	13.998188	t
13.998188	14.378518	a
14.537172	14.613798	t
14.613798	15.009134	a
15.167388	15.209802	t
15.209802	15.658756	a
15.806406	15.884833	t
15.885633	16.247357	a
16.413014	16.440423	t
16.440423	16.736124	a
17.376343	17.470575	t
17.470575	17.829898	a
18.016962	18.061177	t
18.061177	18.472518	a
18.654180	18.698595	t
18.698595	18.943079	a
19.297000	19.373826	t
19.373826	19.742953	a
19.940220	20.011244	t
20.011244	20.278536	a
