1.885939	1.915812	t
1.915812	2.248348	a
2.374915	2.427783	t
2.427783	2.771914	a
2.895337	2.947615	t
2.947615	3.275434	a
3.407504	3.450152	t
3.450152	3.799393	a
3.954262	3.984921	t
3.984921	4.346936	a
4.480973	4.511042	t
4.511042	4.831589	a
4.966804	4.997660	t
4.997660	5.343363	a
5.480937	5.517296	t
5.517296	5.754119	a
6.063070	6.132054	t
6.132054	6.386172	a
6.517064	6.579561	t
6.579561	6.862177	a
7.003682	7.033555	t
7.033555	7.343292	a
7.495016	7.519976	t
7.519976	7.836592	a
7.981241	8.006987	t
8.006987	8.287441	a
8.455281	8.484564	t
8.484564	8.761088	a
8.931679	8.957818	t
8.957818	9.213115	a
