1.885939	1.915812	t
1.915812	2.248348	a
2.374915	2.427783	t
2.427783	2.771914	a
2.895337	2.927001	t
2.927001	3.275434	a
3.407504	3.433574	t
3.433574	3.799393	a
3.954262	3.982162	t
3.982162	4.346936	a
4.480973	4.505141	t
4.505141	4.831589	a
4.966804	4.993708	t
4.993708	5.343363	a
5.480937	5.510685	t
5.510685	5.754119	a
6.063070	6.112090	t
6.112090	6.386172	a
6.517064	6.569047	t
6.569047	6.862177	a
7.003682	7.032405	t
7.032405	7.343292	a
7.495016	7.517771	t
7.517771	7.836592	a
7.981241	7.997535	t
7.997535	8.287441	a
8.455281	8.478900	t
8.478900	8.761088	a
8.931679	8.957818	t
8.957818	9.213115	a
10.183207	10.233900	t
10.233900	10.602610	a
10.738473	10.762481	t
10.762481	11.193228	a
11.334077	11.355084	t
11.355084	11.761023	a
11.931281	11.951688	t
11.951688	12.379034	a
12.576301	12.604311	t
12.604311	13.036659	a
13.273140	13.295347	t
13.295347	13.571042	a
13.930164	13.960375	t
13.960375	14.378518	a
14.537172	14.562181	t
14.562181	15.009134	a
15.167388	15.192396	t
15.192396	15.658756	a
15.806406	15.820211	t
15.820211	16.247357	a
16.413014	16.431620	t
16.431620	16.736124	a
17.376343	17.401552	t
17.401552	17.829898	a
18.016962	18.033768	t
18.033768	18.472518	a
18.654180	18.674387	t
18.674387	18.943079	a
19.297000	19.319408	t
19.319408	19.742953	a
19.940220	19.962428	t
19.962428	20.278536	a
